Title,Director,Country,Year,Decade,Duration,Description,Total Hours,Url,titleYear_x,newTitleYear,tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,titleYear_y,isDuplicated
35 Shots of Rum,Claire Denis,France,2008,2000s,1:40,"An achingly poignant family drama from Claire Denis, the renowned director of BEAU TRAVAIL, the sublime 35 SHOTS OF RUM is the moving story of a father and daughter whose close-knit, tender relationship is disrupted by a handsome young suitor. Sumptuously filmed by cinematographer Agnès Godard and featuring an evocative score by Tindersticks, 35 SHOTS OF RUM pays homage to the cinema of Yasujiro Ozu while finding a rhythm that’s entirely its own, casting a lovely spell unlike any other movie you’ve seen.",1.67,https://www.criterionchannel.com/35-shots-of-rum,35 Shots of Rum 2008,35 Shots of Rum 2008,tt1100048,7.1,4386,35 Shots of Rum,35 rhums,2008,35 Shots of Rum 2008,False
The 39 Steps,Alfred Hitchcock,United Kingdom,1935,1930s,1:27,"A heart-racing spy story by Alfred Hitchcock, THE 39 STEPS follows Richard Hannay (Robert Donat) as he stumbles upon a conspiracy that thrusts him into a hectic chase across the Scottish moors—a chase in which he is both the pursuer and the pursued—as well as into an unexpected romance with the cool Pamela (Madeline Carroll). Adapted from a novel by John Buchan, this classic wrong-man thriller from the Master of Suspense anticipates the director’s most famous works (especially NORTH BY NORTHWEST), and remains one of his cleverest and most entertaining films.",1.45,https://www.criterionchannel.com/the-39-steps,The 39 Steps 1935,The 39 Steps 1935,tt0026029,7.6,52516,The 39 Steps,The 39 Steps,1935,The 39 Steps 1935,False
45 Years,Andrew Haigh,United Kingdom,2015,2010s,1:35,"In this exquisitely calibrated film, Charlotte Rampling and Tom Courtenay perform a subtly off-kilter pas de deux as Kate and Geoff, an English couple who, on the eve of an anniversary celebration, find their long marriage shaken by the arrival of a letter to Geoff that unceremoniously collapses his past into their shared present. Director Andrew Haigh carries the tradition of British realist cinema to artful new heights in 45 YEARS, weaving the momentous into the mundane as the pair go about their daily lives, while the evocatively flat, wintry Norfolk landscape frames their struggle to maintain an increasingly untenable status quo. Loosely adapting a short story by David Constantine, Haigh shifts the focus from the slightly erratic Geoff to Kate, eliciting a remarkable, nuanced portrayal by Rampling of a woman’s gradual metamorphosis from unflappable wife to woman undone.",1.58,https://www.criterionchannel.com/45-years,45 Years 2015,45 Years 2015,tt3544082,7.1,31284,45 Years,45 Years,2015,45 Years 2015,False
49th Parallel,Michael Powell,United Kingdom,1941,1940s,2:02,"At once a compelling piece of anti-isolationist propaganda and a quick-witted wartime thriller, 49TH PARALLEL is a classic early work from the inimitable British filmmaking team of Michael Powell and Emeric Pressburger. When a Nazi U-boat crew, headed by the ruthless Eric Portman, is stranded in Canada during the thick of World War II, the men evade capture by hiding out in a series of rural communities, before trying to cross the border into the still-neutral United States. Both soul-stirring and delightfully entertaining, 49TH PARALLEL features a colorful cast of characters played by larger-than-life actors Laurence Olivier, Raymond Massey, Anton Walbrook, and Leslie Howard.",2.03,https://www.criterionchannel.com/49th-parallel,49th Parallel 1941,49th Parallel 1941,tt0033627,7.3,6010,49th Parallel,49th Parallel,1941,49th Parallel 1941,False
The 400 Blows,François Truffaut,France,1959,1950s,1:40,"François Truffaut’s first feature is also his most personal. Told through the eyes of Truffaut’s cinematic counterpart, Antoine Doinel (Jean-Pierre Léaud), THE 400 BLOWS sensitively re-creates the trials of Truffaut’s own childhood, unsentimentally portraying aloof parents, oppressive teachers, and petty crime. The film marked Truffaut’s passage from leading critic to trailblazing auteur of the French New Wave.",1.67,https://www.criterionchannel.com/the-400-blows,The 400 Blows 1959,The 400 Blows 1959,tt0053198,8.1,106691,The 400 Blows,Les quatre cents coups,1959,The 400 Blows 1959,False
 71 Fragments of a Chronology of a Chance,Michael Haneke,Austria,1994,1990s,1:39,71 scenes detailing a college student who murders four people before committing suicide in his car on Christmas Eve.,1.65,https://www.criterionchannel.com/71-fragments-of-a-chronology-of-chance, 71 Fragments of a Chronology of a Chance 1994,71 Fragments of a Chronology of Chance 1994,tt0109020,7.2,6992,71 Fragments of a Chronology of Chance,71 Fragmente einer Chronologie des Zufalls,1994,71 Fragments of a Chronology of Chance 1994,False
Abuse of Weakness,Catherine Breillat,France,2013,2010s,1:44,"Inspired by director Catherine Breillat’s real-life experiences, ABUSE OF WEAKNESS is a daring exploration of power and sex from a director fearlessly confronting her own demons. Isabelle Huppert stars as Maud, a strong-willed filmmaker whose world is turned upside down when she suffers a stroke. Bedridden but determined to pursue her latest film project, she sees Vilko (Kool Shen), a con man who swindles celebrities, on a TV talk show. Interested in him for her new film, Maud arranges to meet him and soon finds herself falling for Vilko’s manipulative charm as their parasitic relationship spirals out of control.",1.73,https://www.criterionchannel.com/abuse-of-weakness,Abuse of Weakness 2013,Abuse of Weakness 2013,tt2418372,5.9,1004,Abuse of Weakness,Abus de faiblesse,2013,Abuse of Weakness 2013,False
Accident,Joseph Losey,United Kingdom,1967,1960s,1:46,"Mysterious, subversive, and endlessly fascinating, ACCIDENT is a tantalizing modernist puzzle from director Joseph Losey and writer Harold Pinter. Stephen (Dirk Bogarde) is a middle-aged professor at Oxford University stifled by his marriage and career. Yearning for an affair with his enigmatic student Anna (Jacqueline Sassard), Stephen becomes locked in a battle for her affections against her fiancé William (Michael York), whose youthful vitality he envies, and with his friend and academic rival Charley (Stanley Baker), whose media profile and sexual success he covets. In the best Pinter tradition, unspoken tension simmers in the spaces between words.",1.77,https://www.criterionchannel.com/accident,Accident 1967,Accident 1967,tt0061328,6.9,3937,Accident,Accident,1967,Accident 1967,False
The Adjuster,Atom Egoyan,Canada,1991,1990s,1:42,"Noah Render (Elias Koteas) is an insurance claims adjuster who attends to his clients’ every need—including their sexual ones. His wife, Hera (Arsinée Khanjian), is a government censor who spends her days and nights obsessively watching pornography for both work and pleasure. When they become involved with Bubba (Maury Chaykin) and Mimi (Gabrielle Rose), a wealthy couple with a taste for kinky role-playing, the Renders’ lives are turned upside down in this surreal puzzle from Atom Egoyan.",1.7,https://www.criterionchannel.com/the-adjuster,The Adjuster 1991,The Adjuster 1991,tt0101273,6.7,3199,The Adjuster,The Adjuster,1991,The Adjuster 1991,False
After the Curfew,Usmar Ismail,Indonesia,1954,1950s,1:43,"Giving voice to the anguish of a nation fighting for its soul, Usmar Ismail’s AFTER THE CURFEW follows the descent into disillusionment of a former freedom fighter who is unable to readjust to civilian life following the revolution that gave Indonesia its independence from the Netherlands. Steeped in moody atmospherics and psychological tension, the film struck its national cinema like a bolt of lightning, illuminating on-screen, for the first time and with unflinching realism, the emotional toll of Indonesian society’s postcolonial struggles.",1.72,https://www.criterionchannel.com/after-the-curfew,After the Curfew 1954,After the Curfew 1954,tt0045997,7.0,156,After the Curfew,Lewat Djam Malam,1954,After the Curfew 1954,False
After the Rehearsal,Ingmar Bergman,Sweden,1984,1980s,1:13,"With this spare chamber piece, set in an empty theater, Ingmar Bergman returned to his perennial theme of the permeability of life and art. Lingering after a rehearsal for August Strindberg’s “A Dream Play” (a touchstone for the filmmaker throughout his career), eminent director Henrik (Erland Josephson) enters into a frank and flirtatious conversation with his up-and-coming star, Anna (Lena Olin), leading him to recall his affair with Anna’s late mother, the self-destructive actress Rakel (Ingrid Thulin). The sharply written and impeccably performed AFTER THE REHEARSAL, originally made for television, pares away all artifice to examine both the allure and the cost of a life in the theater.",1.22,https://www.criterionchannel.com/after-the-rehearsal,After the Rehearsal 1984,After the Rehearsal 1984,tt0087193,7.3,2271,After the Rehearsal,Efter repetitionen,1984,After the Rehearsal 1984,False
¡Alambrista!,Robert M. Young,United States,1977,1970s,1:36,"In ¡ALAMBRISTA!, a Mexican farmworker sneaks across the border to California to make money to send to his family back home. It is a story that happens every day, told here in an uncompromising, groundbreaking work of realism from American independent filmmaker Robert M. Young. Vivid and spare where other films about illegal immigration might sentimentalize, Young’s take is equal parts intimate character study and gripping road movie, a political work that never loses sight of the complex man at its center. ¡ALAMBRISTA!, winner of the Cannes Film Festival’s inaugural Caméra d'Or in 1978, remains one of the best films ever made on this perennially relevant topic.",1.6,https://www.criterionchannel.com/alambrista,¡Alambrista! 1977,Alambrista! 1977,tt0075654,7.3,608,Alambrista!,Alambrista!,1977,Alambrista! 1977,False
Alexander Nevsky,Sergei Eisenstein,Soviet Union,1938,1930s,1:48,"Eisenstein drew on history, Russian folk narratives, and the techniques of Walt Disney to create this broadly painted epic of Russian resilience. This story of Teutonic knights vanquished by Prince Alexander Nevsky’s tactical brilliance resonated deeply with a Soviet Union concerned with the rise of Nazi Germany. Widely imitated, most notably by Laurence Olivier’s Battle of Agincourt re-creation for HENRY V, the Battle on the Ice scene remains one of the most famous audio-visual experiments in film history, perfectly blending action with the rousing score of Sergei Prokofiev.",1.8,https://www.criterionchannel.com/alexander-nevsky,Alexander Nevsky 1938,Alexander Nevsky 1938,tt0029850,7.6,10569,Alexander Nevsky,Aleksandr Nevskiy,1938,Alexander Nevsky 1938,False
Alice in the Cities,Wim Wenders,Germany,1974,1970s,1:53,"The first of the road films that would come to define the career of Wim Wenders, the magnificent ALICE IN THE CITIES is an emotionally generous and luminously shot odyssey. A German journalist (Rüdiger Vogler) is driving across the United States to research an article; it’s a disappointing trip, in which he is unable to truly connect with what he sees. Things change, however, when he has no choice but to take a young girl named Alice (Yella Rottländer) with him on his return trip to Germany, after her mother (Lisa Kreuzer)—whom he has just met—leaves the child in his care. Though they initially find themselves at odds, the pair begin to form an unlikely friendship.",1.88,https://www.criterionchannel.com/alice-in-the-cities,Alice in the Cities 1974,Alice in the Cities 1974,tt0069687,8.0,10356,Alice in the Cities,Alice in den Städten,1974,Alice in the Cities 1974,False
Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Germany,1974,1970s,1:33,"The wildly prolific German filmmaker Rainer Werner Fassbinder paid homage to his cinematic hero Douglas Sirk with this update of that filmmaker’s 1955 ALL THAT HEAVEN ALLOWS. A lonely widow (Brigitte Mira) meets a much younger Arab worker (El Hedi ben Salem) in a bar during a rainstorm. They fall in love, to their own surprise—and to the outright shock of their families, colleagues, and drinking buddies. In ALI: FEAR EATS THE SOUL, Fassbinder expertly wields the emotional power of classic Hollywood melodrama to expose the racial tensions underlying contemporary German culture.",1.55,https://www.criterionchannel.com/ali-fear-eats-the-soul,Ali: Fear Eats the Soul 1974,Ali: Fear Eats the Soul 1974,tt0071141,8.1,19252,Ali: Fear Eats the Soul,Angst essen Seele auf,1974,Ali: Fear Eats the Soul 1974,False
All Monsters Attack,Ishiro Honda,Japan,1969,1960s,1:09,"Director Ishiro Honda returned again for the first Godzilla movie expressly for children. Economizing by reusing effects shots from other films in the series, All Monster Attack tells the story of Ichiro, a lonely latchkey kid who finds solace in his dreams of befriending Minilla, the titular progeny of Son of Godzilla, whose parent is also often absent. In this thoughtful, human-scale story, boy and monster learn together what it means to grow up.",1.15,https://www.criterionchannel.com/all-monsters-attack,All Monsters Attack 1969,All Monsters Attack 1969,tt0064373,3.9,4047,All Monsters Attack,Gojira-Minira-Gabara: Oru kaijû daishingeki,1969,All Monsters Attack 1969,False
All Night Long,Basil Dearden,United Kingdom,1962,1960s,1:31,"Othello is translated to the world of sixties London jazz clubs in Basil Dearden's smoky and sensational All Night Long. Over the course of one eventful evening, the anniversary celebration of the musical and romantic partners Aurelius Rex (Paul Harris) and Delia Lane (Marti Stevens), a jealous, ambitious drummer, Johnny Cousin (Patrick McGoohan), attempts to tear the interracial couple apart. This daring psychodrama also features on-screen appearances by jazz legends Charles Mingus, Dave Brubeck, Tubby Hayes, and Johnny Dankworth.",1.52,https://www.criterionchannel.com/all-night-long,All Night Long 1962,All Night Long 1962,tt0054614,7.1,1086,All Night Long,All Night Long,1962,All Night Long 1962,False
All These Women,Ingmar Bergman,Sweden,1964,1960s,1:20,"When the famous cellist Jarl Kulle bribes a critic to write his biography, the critic decides to blackmail him with the intimate details gleaned from the many women in his life.",1.33,https://www.criterionchannel.com/all-these-women,All These Women 1964,All These Women 1964,tt0058124,5.6,1958,All These Women,För att inte tala om alla dessa kvinnor,1964,All These Women 1964,False
Always Shine,Sophia Takal,United States,2016,2010s,1:27,"Director Sophia Takal offers a tense and disquieting exploration of female friendship, rivalry, and Hollywood sexism in this provocative psychological thriller. Two friends (Mackenzie Davis and Caitlin FitzGerald), both actors who have experienced vastly different levels of success, leave Los Angeles for Big Sur on a weekend getaway to reconnect. Once alone, however, the two women’s suppressed jealousies and deep-seated resentments bubble to the surface, causing them to lose grasp not just of the true nature of their relationship, but also of their own identities.",1.45,https://www.criterionchannel.com/always-shine,Always Shine 2016,Always Shine 2016,tt4392770,5.7,4177,Always Shine,Always Shine,2016,Always Shine 2016,False
American Dream,"Barbara Kopple, Cathy Caplan, Thomas Haneke, Lawrence Silk",United States,1990,1990s,1:38,"Fourteen years after her watershed documentary HARLAN COUNTY, USA, cinema-verité pioneer Barbara Kopple returned to the subject of union organizing in this eye-opening look at class struggle and solidarity. When the workers at Hormel Foods in Austin, Minnesota, saw their wages and benefits drastically cut, they organized a strike that would stretch on for over a year of grueling negotiations, hardball tactics, and devastating setbacks. Winner of the Academy Award for best documentary, AMERICAN DREAM goes behind the scenes of a clash between corporate management and everyday people that speaks powerfully to the bitter realities of labor in the United States.",1.63,https://www.criterionchannel.com/american-dream,American Dream 1990,American Dream 1990,tt0099028,7.9,782,American Dream,American Dream,1990,American Dream 1990,False
The American Friend,Wim Wenders,Germany,1977,1970s,2:07,"Wim Wenders pays loving homage to rough-and-tumble Hollywood film noir with THE AMERICAN FRIEND, a loose adaptation of Patricia Highsmith’s novel “Ripley’s Game.” Dennis Hopper oozes quirky menace as an amoral American art dealer who entangles a terminally ill German everyman, played by Bruno Ganz, in a seedy criminal underworld as revenge for a personal slight, but when the two become embroiled in an ever-deepening murder plot, they form an unlikely bond. Filmed on location in Hamburg and Paris, with some scenes shot in grimy, late-seventies New York City, Wenders’ international breakout is a stripped-down crime story that mixes West German and American film flavors, and it features cameos by filmmakers Jean Eustache, Samuel Fuller, and Nicholas Ray.",2.12,https://www.criterionchannel.com/the-american-friend,The American Friend 1977,The American Friend 1977,tt0075675,7.4,14276,The American Friend,Der amerikanische Freund,1977,The American Friend 1977,False
The American Soldier,Rainer Werner Fassbinder,Germany,1970,1970s,1:20,"The German-born American GI Ricky (Karl Scheydt) returns to Munich from Vietnam and is promptly hired as a contract killer. Rainer Werner Fassbinder's experimental noir is a subversive, self-reflexive gangster movie full of unexpected asides and stylistic flourishes, and features an audaciously bonkers final shot and memorable turns from many of the director's rotating gallery of players.",1.33,https://www.criterionchannel.com/the-american-soldier,The American Soldier 1970,The American Soldier 1970,tt0065391,6.7,1646,The American Soldier,Der amerikanische Soldat,1970,The American Soldier 1970,False
Le amiche,Michelangelo Antonioni,Italy,1955,1950s,1:45,"This major early achievement by Michelangelo Antonioni bears the first signs of the cinema-changing style for which he would soon be world-famous. LE AMICHE (THE GIRLFRIENDS) is a brilliantly observed, fragmentary depiction of modern bourgeois life, conveyed from the perspective of five Turinese women. As four of the friends try to make sense of the suicide attempt of the fifth, they find themselves examining their own troubled romantic lives. With suggestions of the theme of modern alienation and the fastidious visual abstraction that would define his later masterpieces such as L’AVVENTURA, L’ECLISSE, and RED DESERT, Antonioni’s film is a devastating take on doomed love and fraught friendship.",1.75,https://www.criterionchannel.com/le-amiche,Le amiche 1955,Le Amiche 1955,tt0047821,7.2,2654,Le Amiche,Le amiche,1955,Le Amiche 1955,False
And Everything Is Going Fine,Steven Soderbergh,United States,2010,2010s,1:29,"After the death in 2004 of American theater actor and monologist Spalding Gray, director Steven Soderbergh pieced together a narrative of Gray’s life to create the documentary AND EVERYTHING IS GOING FINE. Brilliantly and sensitively assembled entirely from footage of Gray, taken from interviews and one-man shows from throughout his career, it is a rich, full portrait—an autobiography of sorts—of a figure who was never less than candid but retained an air of mystery.",1.48,https://www.criterionchannel.com/and-everything-is-going-fine,And Everything Is Going Fine 2010,And Everything Is Going Fine 2010,tt1122614,7.1,1096,And Everything Is Going Fine,And Everything Is Going Fine,2010,And Everything Is Going Fine 2010,False
And God Created Woman,Roger Vadim,France,1956,1950s,1:31,"The astounding success of Roger Vadim’s AND GOD CREATED WOMAN revolutionized the foreign film market and turned Brigitte Bardot into an international star. Bardot stars as Juliette, an 18-year-old orphan whose unbridled appetite for pleasure shakes up all of St. Tropez; her sweet but naïve husband Michel (Jean-Louis Trintignant) endures beatings, insults, and mambo in his attempts to tame her wild ways.",1.52,https://www.criterionchannel.com/and-god-created-woman,And God Created Woman 1956,And God Created Woman 1956,tt0049189,6.3,7672,And God Created Woman,Et Dieu... créa la femme,1956,And God Created Woman 1956,False
And Life Goes On,Abbas Kiarostami,Iran,1992,1990s,1:35,"In the aftermath of the 1990 earthquake in Iran that left fifty thousand dead, Abbas Kiarostami returned to Koker, where his camera surveys not only devastation but also the teeming life in its wake. Blending fiction and reality into a playful, poignant road movie, AND LIFE GOES ON follows a film director who, along with his son, makes the trek to the region in hopes of finding out if the young boys who acted in WHERE IS THE FRIEND’S HOUSE? are among the survivors, and discovers a resilient community pressing on in the face of tragedy. Finding beauty in the bleakest of circumstances, Kiarostami crafts a quietly majestic ode to the best of the human spirit.",1.58,https://www.criterionchannel.com/and-life-goes-on,And Life Goes On 1992,And Life Goes On 1992,tt0105888,7.9,4835,And Life Goes On,Zendegi va digar hich,1992,And Life Goes On 1992,False
Andrei Rublev,Andrei Tarkovsky,Soviet Union,1966,1960s,3:03,"Tracing the life of a renowned icon painter, the second feature by Andrei Tarkovsky vividly conjures the murky world of medieval Russia. This dreamlike and remarkably tactile film follows Andrei Rublev as he passes through a series of poetically linked scenes—snow falls inside an unfinished church, naked pagans stream through a thicket during a torchlit ritual, a boy oversees the clearing away of muddy earth for the forging of a gigantic bell—gradually emerging as a man struggling mightily to preserve his creative and religious integrity. Appearing here in the director’s preferred 183-minute cut as well as the version that was originally suppressed by Soviet authorities, the masterwork ANDREI RUBLEV is one of Tarkovsky’s most revered films, an arresting meditation on art, faith, and endurance.",3.05,https://www.criterionchannel.com/andrei-rublev,Andrei Rublev 1966,Andrei Rublev 1966,tt0060107,8.1,47821,Andrei Rublev,Andrey Rublev,1966,Andrei Rublev 1966,False
Androcles and the Lion,Chester Erskine,United Kingdom,1952,1950s,1:38,"George Bernard Shaw's breezy, delightful dramatization of this classic fable, about a Christian slave who pulls a thorn from a lion's paw and is spared from death in the Colosseum as a result of his kind act, was written as a meditation on modern Christian values. And Pascal's final Shaw production plays it broadly, casting comic character actor Alan Young as the titular naïf. He's ably supported by Jean Simmons, Victor Mature, Robert Newton, and Elsa Lanchester.",1.63,https://www.criterionchannel.com/androcles-and-the-lion,Androcles and the Lion 1952,Androcles and the Lion 1952,tt0044355,6.2,793,Androcles and the Lion,Androcles and the Lion,1952,Androcles and the Lion 1952,False
. . . And the Pursuit of Happiness,Louis Malle,France,1986,1980s,1:21,"In 1986, Louis Malle, himself a transplant to the United States, set out to investigate the ever-widening range of immigrant experience in America. Interviewing a variety of newcomers (from teachers to astronauts to doctors) in middle- and working-class communities from coast to coast, Malle paints a generous, humane portrait of their individual struggles in an increasingly polyglot nation.",1.35,https://www.criterionchannel.com/and-the-pursuit-of-happiness,. . . And the Pursuit of Happiness 1986,...And the Pursuit of Happiness 1986,tt0092561,7.2,428,...And the Pursuit of Happiness,...And the Pursuit of Happiness,1986,...And the Pursuit of Happiness 1986,False
And the Ship Sails On,Federico Fellini,Italy,1983,1980s,2:09,"In Fellini’s quirky, imaginative fable, a motley crew of European aristocrats (and a lovesick rhinoceros!) board a luxurious ocean liner on the eve of World War I to scatter the ashes of a beloved diva. Fabricated entirely in Rome’s famed Cinecittà studios, AND THE SHIP SAILS ON (E LA NAVE VA) reaches spectacular new visual heights with its stylized re-creation of a decadent bygone era.",2.15,https://www.criterionchannel.com/and-the-ship-sails-on,And the Ship Sails On 1983,And the Ship Sails On 1983,tt0087188,7.6,5662,And the Ship Sails On,E la nave va,1983,And the Ship Sails On 1983,False
